mp_id,formula,host_cation,final_energy_per_atom,formation_energy_per_atom,band_gap,icsd_label,icsd_num,predict_emit,wave
mp-755889,Li2V4F14,V,-5.833369168,-3.15106039,2.1214,FALSE,0,1.98389,625.03534
mp-7922,Ca1Pd1F6,Pd,-4.6028249,-2.617530463,2.1437,TRUE,[26164],1.98391,625.02735
mp-1252168,Ti6Al2F30,Ti,-6.144518488,-3.556400784,2.8938,FALSE,0,1.98398,625.00676
mp-1205867,K3Tm1F6,Tm,-5.181069619,-3.530679012,5.2542,FALSE,0,1.98406,624.97971
mp-1206193,K3Er1F6,Er,-5.176329555,-3.516750609,5.2085,FALSE,0,1.98406,624.97971
mp-1206666,K3Ho1F6,Ho,-5.170871469,-3.509823517,5.173,FALSE,0,1.98406,624.97971
mp-4185,Na6Sc2F12,Sc,-5.423868744,-3.524176865,6.8395,TRUE,"[400723, 50838, 401761]",1.98412,624.9617
mp-1208622,Sr4Zn4F8,Sr,-4.207828038,-2.745779289,2.609,FALSE,0,1.98438,624.88154
mp-777528,Li6V2F12,V,-5.341701647,-3.1609468,2.4775,FALSE,0,1.98468,624.78448
mp-676802,K12Hf6F36,Hf,-5.919222764,-3.599793815,2.7356,FALSE,0,1.98488,624.72425
mp-755415,Li2V2F8,V,-5.65762866,-3.142504526,2.0665,FALSE,0,1.98496,624.69732
mvc-14334,Mg2V2F10,V,-5.766676356,-3.447879076,2.378,FALSE,0,1.98502,624.67933
mp-754000,Li4V2F10,V,-5.514840455,-3.208697125,2.4523,FALSE,0,1.9851,624.65372
mp-756227,Li2V4F14,V,-5.887531151,-3.205222373,2.1015,FALSE,0,1.98522,624.61612
mp-21633,Li18V6F36,V,-5.393822881,-3.213068033,2.4336,TRUE,[100300],1.98548,624.5345
mp-767671,Li6V2F12,V,-5.322483079,-3.141728231,2.5446,FALSE,0,1.98551,624.52567
mp-1214563,Ba8Na8V8F48,V,-5.67074515,-3.523825595,2.5539,FALSE,0,1.98562,624.49001
mp-1197107,Cs2Ti16F66,Ti,-6.360046643,-3.695947966,4.5675,TRUE,[78736],1.98567,624.47539
